Network;Species;Group;Kingdom;Phylum;Class;Order;Family;Genus;BodyWeight;FeedingMode;MetabolicCategory;TrophicLevel;FeedingType;Mobility;Environment;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;Vulnerability;Generality
loughhyne;Caprella_206611;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella;8.76E-03;"predator";"invertebrate";3.23;"omnivorous";3;"benthic";43;1397;24;47;106;2;0;0;441;101;11;59;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;15;11
loughhyne;Scyliorhinus_160065;I;Animalia;Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;Scyliorhinus;1360;"predator";"ectotherm vertebrate";3.54;"carnivorous";4;"demersal";192;165;251;3;61;2;0;0;654;1;82;11;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;24
loughhyne;Temora_85877;I;Animalia;Arthropoda;Maxillopoda;Calanoida;Temoridae;Temora;9.40E-05;"grazer";"invertebrate";2;"herbivorous";4;"pelagic";1;1221;0;326;85;5;0;0;167;1078;0;19;246;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;2
loughhyne;Hyperoplus_171683;I;Animalia;Chordata;Actinopterygii;Perciformes;Ammodytidae;Hyperoplus;166.84;"predator";"ectotherm vertebrate";3.73;"carnivorous";4;"demersal";1;755;28;15;9;1;30;0;11;117;0;27;36;4;0;0;10;6;0;0;0;0;0;0;0;30;0;0;0;1;21;5
loughhyne;Haliclona_203898;I;Animalia;Porifera;Demospongiae;Haplosclerida;Chalinidae;Haliclona;6.38E+00;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";3;386;0;93;30;0;0;0;217;43;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3
loughhyne;Orchomene_94364;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Lysianassidae;Orchomene;3.16E-03;"grazer";"invertebrate";2;"herbivorous/detrivorous";3;"benthic";0;1456;0;47;15;2;0;0;122;101;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1
loughhyne;Terpios_48470;I;Animalia;Porifera;Demospongiae;Hadromerida;Suberitidae;Terpios;1.48E-01;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";3;386;0;93;30;0;0;0;217;43;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3
loughhyne;Salmo_161996;I;Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Salmo;50000;"predator";"ectotherm vertebrate";3.72;"carnivorous";4;"pelagic";26;5;133;0;9;0;0;0;269;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;10
loughhyne;Sprattus_161789;I;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Sprattus;33.63;"predator";"ectotherm vertebrate";3.33;"carnivorous";4;"pelagic";59;713;63;60;110;1;0;0;528;105;44;175;61;0;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;19;15
loughhyne;Larus_176824;T;Animalia;Chordata;Aves;Ciconiiformes;Laridae;Larus;2000;"predator/scavenger";"endotherm vertebrate";4.06;"carnivorous";4;"land-based";30;0;111;0;0;0;0;0;125;0;12;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;10
